2008-10-01 6	 
2008-10-02 6	 
2008-10-03 6	 
2008-10-04 5	 
2008-10-05 6	 
2008-10-06 5	 
2008-10-07 4	 
2008-10-08 3	 
2008-10-09 4	 
2008-10-10 3	 
2008-10-11 3	 
2008-10-12 2	 
2008-10-13 2	 
2008-10-14 4	 
2008-10-15 6	 
2008-10-16 6	 
2008-10-17 7	 
2008-10-18 8	 
2008-10-19 8	 
2008-10-20 13	 
2008-10-21 14	 
2008-10-22 14	 
2008-10-23 14	 
2008-10-24 15	 
2008-10-25 17	 
2008-10-26 17	 
2008-10-27 18	 
2008-10-28 21	 
2008-10-29 24	 
2008-10-30 25	 
2008-10-31 31	 
2008-11-01 30	 
2008-11-02 31	 
2008-11-03 27	 
2008-11-04 25	 
2008-11-05 26	 
2008-11-06 32	 
2008-11-07 40	 
2008-11-08 49	 
2008-11-09 49	 
2008-11-10 61	 
2008-11-11 75	 
2008-11-12 80	 
2008-11-13 90	 
2008-11-14 89	 
2008-11-15 107	 
2008-11-16 121	 
2008-11-17 150	 
2008-11-18 152	 
2008-11-19 163	 
2008-11-20 187	 
2008-11-21 217	 
2008-11-22 222	 
2008-11-23 227	 
2008-11-24 211	 
2008-11-25 242	 
2008-11-26 250	 
2008-11-27 253	 
2008-11-28 253	 
2008-11-29 264	 
2008-11-30 268	 
2008-12-01 348	 
2008-12-02 362	 
2008-12-03 404	 
2008-12-04 473	 
2008-12-05 516	 
2008-12-06 577	 
2008-12-07 599	 
2008-12-08 689	 
2008-12-09 758	 
2008-12-10 818	 
2008-12-11 849	 
2008-12-12 955	 
2008-12-13 972	 
2008-12-14 953	 
2008-12-15 1044	 
2008-12-16 1109	 
2008-12-17 1159	 
2008-12-18 1240	 
2008-12-19 1295	 
2008-12-20 1436	 
2008-12-21 1477	 
2008-12-22 1664	 
2008-12-23 1521	 
2008-12-24 1664	 
2008-12-25 1694	 
2008-12-26 1701	 
2008-12-27 1677	 
2008-12-28 1715	 
2008-12-29 1540	 
2008-12-30 1583	 
2008-12-31 1319	 
2009-01-01 1158	 
2009-01-02 989	 
2009-01-03 831	 
2009-01-04 789	 
2009-01-05 910	 
2009-01-06 1223	 
2009-01-07 1590	 
2009-01-08 1916	 
2009-01-09 2401	 
2009-01-10 2788	 
2009-01-11 2886	 
2009-01-12 2640	 
2009-01-13 3356	 
2009-01-14 3737	 
2009-01-15 3991	 
2009-01-16 4629	 
2009-01-17 5221	 
2009-01-18 5347	 
2009-01-19 7633	 
2009-01-20 7988	 
2009-01-21 8409	 
2009-01-22 9157	 
2009-01-23 9753	 
2009-01-24 10131	 
2009-01-25 10074	 
2009-01-26 10078	 
2009-01-27 10124	 
2009-01-28 10133	 
2009-01-29 9892	 
2009-01-30 9468	 
2009-01-31 9209	 
2009-02-01 9310	 
2009-02-02 8628	 
2009-02-03 8115	 
2009-02-04 7801	 
2009-02-05 7435	 
2009-02-06 7043	 
2009-02-07 6580	 
2009-02-08 6382	 
2009-02-09 5940	 
2009-02-10 5776	 
2009-02-11 4991	 
2009-02-12 4973	 
2009-02-13 4680	 
2009-02-14 4456	 
2009-02-15 4425	 
2009-02-16 3960	 
2009-02-17 3590	 
2009-02-18 3924	 
2009-02-19 3515	 
2009-02-20 3356	 
2009-02-21 3285	 
2009-02-22 3276	 
2009-02-23 3371	 
2009-02-24 3512	 
2009-02-25 3649	 
2009-02-26 3721	 
2009-02-27 3786	 
2009-02-28 3849	 
2009-03-01 3914	 
2009-03-02 4064	 
2009-03-03 4162	 
2009-03-04 4211	 
2009-03-05 4326	 
2009-03-06 4438	 
2009-03-07 4595	 
2009-03-08 4576	 
2009-03-09 4680	 
2009-03-10 4761	 
2009-03-11 4736	 
2009-03-12 4768	 
2009-03-13 4750	 
2009-03-14 4662	 
2009-03-15 4645	 
2009-03-16 4646	 
2009-03-17 4678	 
2009-03-18 4789	 
